tiempo,tipo,accel_x,accel_y,accel_z,gyros_x,gyros_y,gyros_z,edad,sexo
1.027903,Curl femoral,-0.080222,0.976026,0.219327,0.009883,-0.008695,-0.003352,24,Hombre
1.766328,Curl femoral,-0.080468,0.979668,0.217865,0.012943,-0.013179,-0.004147,24,Hombre
2.313030,Curl femoral,-0.075038,0.977726,0.221277,0.006816,-0.005644,-0.004019,24,Hombre
2.823544,Curl femoral,-0.077260,0.986709,0.214453,0.002059,-0.011661,-0.000011,24,Hombre
3.355768,Curl femoral,-0.078741,0.979911,0.215184,0.023544,-0.008565,-0.003284,24,Hombre
3.920375,Curl femoral,0.227414,0.899547,0.266604,-0.085496,-0.437698,1.200732,24,Hombre
4.435441,Curl femoral,0.914264,0.527103,0.107958,-0.081830,-0.565674,1.538235,24,Hombre
4.954259,Curl femoral,1.025061,0.031563,-0.064596,-0.069002,-0.396159,0.579176,24,Hombre
5.496984,Curl femoral,0.954025,0.166070,-0.008436,0.194281,0.360092,-0.831006,24,Hombre
5.989705,Curl femoral,0.815346,0.481943,0.131596,0.110287,0.350318,-0.858190,24,Hombre
6.486076,Curl femoral,0.523198,0.808014,0.215915,-0.083968,0.121855,-0.508164,24,Hombre
6.980703,Curl femoral,0.313240,0.881337,0.253688,-0.108098,0.052522,-0.250989,24,Hombre
7.483353,Curl femoral,0.753037,0.618635,0.309739,0.057447,-0.669521,1.493642,24,Hombre
7.985762,Curl femoral,1.093189,0.035448,-0.041939,0.199168,-0.736411,1.409648,24,Hombre
8.503906,Curl femoral,1.010515,0.056085,-0.096170,-0.170100,0.306947,-1.334359,24,Hombre
9.009472,Curl femoral,0.791343,0.387011,0.118193,-0.110541,0.417819,-1.354518,24,Hombre
9.520605,Curl femoral,0.483922,0.823552,0.232974,-0.002723,0.059241,-0.250379,24,Hombre
9.987600,Curl femoral,0.365124,0.885222,0.272697,-0.099546,0.081538,-0.368886,24,Hombre
10.466250,Curl femoral,0.413613,0.745616,0.254663,0.000331,-0.428840,0.973490,24,Hombre
10.952809,Curl femoral,1.019485,0.230653,0.072622,0.315232,-0.749239,1.820760,24,Hombre
11.431177,Curl femoral,1.112099,0.088862,-0.129914,0.080965,0.253191,-0.801990,24,Hombre
11.912155,Curl femoral,0.874502,0.394295,0.140613,-0.145971,0.531440,-1.401860,24,Hombre
12.489967,Curl femoral,0.464041,0.821853,0.243209,0.025987,0.097420,-0.350255,24,Hombre
12.972412,Curl femoral,0.424765,0.841519,0.245646,-0.063504,0.055576,-0.318185,24,Hombre
13.467232,Curl femoral,0.204382,0.921641,0.303159,0.027820,0.097726,-0.292223,24,Hombre
13.971232,Curl femoral,0.400521,0.801458,0.275377,-0.070529,-0.553457,1.325959,24,Hombre
14.472633,Curl femoral,1.117676,0.199333,-0.016872,0.243455,-0.711060,1.854968,24,Hombre
14.983831,Curl femoral,1.107978,0.001214,-0.103160,-0.090077,0.344515,-1.166677,24,Hombre
15.493497,Curl femoral,0.854379,0.452565,0.048739,-0.036626,0.410794,-1.226847,24,Hombre
16.016298,Curl femoral,0.475921,0.852445,0.220789,0.135638,0.108110,-0.340176,24,Hombre
16.531116,Curl femoral,0.318089,0.867741,0.235411,-0.177736,0.126131,-0.435165,24,Hombre
17.038490,Curl femoral,0.416280,0.935237,0.267335,0.151826,-0.132265,0.400498,24,Hombre
17.556644,Curl femoral,0.369730,0.914357,0.239554,-0.051593,0.142013,-0.418367,24,Hombre
18.070679,Curl femoral,0.223050,0.968014,0.269041,-0.035110,0.036324,-0.080706,24,Hombre
18.577827,Curl femoral,0.137952,0.930867,0.264167,0.039654,0.003281,-0.068839,24,Hombre
19.084409,Curl femoral,0.128739,0.981610,0.272453,0.017135,-0.001171,-0.061838,24,Hombre
19.595880,Curl femoral,0.066673,0.953446,0.280008,-0.031201,0.009058,-0.059297,24,Hombre
20.114773,Curl femoral,0.034912,0.978940,0.284151,-0.113973,0.019443,-0.134434,24,Hombre
20.632571,Curl femoral,-0.028880,0.933537,0.298285,0.099353,0.007405,-0.037280,24,Hombre
21.229682,Curl femoral,-0.038260,0.952961,0.307789,0.005748,0.039294,-0.164765,24,Hombre
21.738490,Curl femoral,-0.114779,0.972627,0.301697,0.068114,-0.031036,0.054219,24,Hombre
22.221970,Curl femoral,-0.056279,0.983310,0.220058,0.149053,-0.013321,-0.012976,24,Hombre
22.704530,Curl femoral,-0.057760,0.988166,0.240772,-0.009116,-0.007136,-0.016223,24,Hombre
23.183494,Curl femoral,-0.069114,0.979425,0.235411,-0.009846,-0.009916,0.008564,24,Hombre
23.668387,Curl femoral,-0.067633,0.976026,0.237604,0.005810,-0.008114,0.004781,24,Hombre
24.151887,Curl femoral,-0.071829,0.968742,0.241260,-0.009535,-0.012924,0.010322,24,Hombre
24.645311,Curl femoral,-0.070101,0.966557,0.244184,-0.005248,-0.008304,0.007356,24,Hombre
