tiempo,tipo,accel_x,accel_y,accel_z,gyros_x,gyros_y,gyros_z,edad,sexo
0.000047,Extension rodilla,-0.013082,0.023551,0.981367,0.008498,-0.011081,-0.005702,24,Hombre
0.127729,Extension rodilla,-0.011601,0.022823,0.980636,0.005522,-0.010121,-0.006127,24,Hombre
0.154823,Extension rodilla,-0.013082,0.024279,0.980880,0.008295,-0.013082,-0.004727,24,Hombre
0.181910,Extension rodilla,-0.012835,0.023308,0.982098,0.006497,-0.010595,-0.006361,24,Hombre
0.212537,Extension rodilla,-0.013329,0.022823,0.980636,0.006851,-0.011198,-0.005284,24,Hombre
0.240129,Extension rodilla,-0.012095,0.021609,0.980149,0.004866,-0.011150,-0.005133,24,Hombre
0.274206,Extension rodilla,-0.012342,0.022580,0.983317,0.004949,-0.009623,-0.002844,24,Hombre
0.308459,Extension rodilla,-0.012589,0.022823,0.982098,0.007497,-0.007801,-0.004837,24,Hombre
0.339074,Extension rodilla,-0.013823,0.022580,0.979418,0.007247,-0.007520,-0.003800,24,Hombre
0.366113,Extension rodilla,-0.012835,0.023065,0.980880,0.005224,-0.009342,-0.003668,24,Hombre
0.393079,Extension rodilla,-0.013576,0.023065,0.982342,0.004174,-0.007874,-0.003846,24,Hombre
0.423673,Extension rodilla,-0.011848,0.022580,0.980392,0.004880,-0.006431,-0.004048,24,Hombre
0.450787,Extension rodilla,-0.013082,0.023308,0.981367,0.003761,-0.006552,-0.003333,24,Hombre
0.477921,Extension rodilla,-0.011848,0.024765,0.982342,0.005087,-0.007520,-0.004708,24,Hombre
0.508569,Extension rodilla,-0.012095,0.021123,0.980880,0.002759,-0.006113,-0.003370,24,Hombre
0.535735,Extension rodilla,-0.012342,0.022094,0.980149,0.004744,-0.006175,-0.002372,24,Hombre
0.562713,Extension rodilla,-0.012095,0.022823,0.981611,0.002784,-0.004152,-0.001382,24,Hombre
0.593379,Extension rodilla,-0.011354,0.022337,0.980392,0.004453,-0.006656,-0.001331,24,Hombre
0.620314,Extension rodilla,-0.011354,0.022823,0.981124,0.003179,-0.007680,-0.002473,24,Hombre
0.654329,Extension rodilla,-0.013082,0.022580,0.980636,0.002783,-0.004772,-0.004197,24,Hombre
0.688367,Extension rodilla,-0.013823,0.022580,0.979661,0.001774,-0.006710,-0.003782,24,Hombre
0.715472,Extension rodilla,-0.013329,0.022094,0.981367,0.003517,-0.005591,-0.003381,24,Hombre
0.749626,Extension rodilla,-0.011354,0.023551,0.981611,0.003980,-0.006015,-0.003299,24,Hombre
0.780307,Extension rodilla,-0.013082,0.023551,0.980880,0.002646,-0.003697,-0.000186,24,Hombre
0.807490,Extension rodilla,-0.011848,0.022823,0.981124,0.003194,-0.001732,-0.001956,24,Hombre
0.834553,Extension rodilla,-0.013576,0.021366,0.982098,0.002772,-0.005472,-0.003092,24,Hombre
0.865235,Extension rodilla,-0.012835,0.022823,0.981855,0.003601,-0.005870,-0.003620,24,Hombre
0.902249,Extension rodilla,-0.011848,0.021366,0.986241,0.001999,-0.005710,-0.002914,24,Hombre
0.954404,Extension rodilla,-0.012835,0.022580,0.979905,0.003088,-0.002781,-0.001961,24,Hombre
1.002060,Extension rodilla,-0.012589,0.023794,0.977468,-0.000613,-0.005381,-0.003092,24,Hombre
1.045638,Extension rodilla,-0.012342,0.022094,0.980149,0.003566,-0.005187,-0.002409,24,Hombre
1.097694,Extension rodilla,-0.012095,0.022580,0.978930,0.003182,-0.002026,-0.002338,24,Hombre
1.149513,Extension rodilla,-0.011848,0.024036,0.979661,0.006745,-0.001032,-0.001344,24,Hombre
1.197276,Extension rodilla,-0.012342,0.024036,0.977712,0.002132,-0.000927,-0.002165,24,Hombre
