tiempo,tipo,accel_x,accel_y,accel_z,gyros_x,gyros_y,gyros_z,edad,sexo
1.015711,Curl femoral,0.074431,0.983553,0.159865,0.078652,-0.001488,0.000551,23,Mujer
1.721711,Curl femoral,0.072249,0.985981,0.158647,-0.032007,0.008621,0.001159,23,Mujer
2.242158,Curl femoral,0.072976,1.056633,0.147680,-0.006656,0.008010,0.000854,23,Mujer
2.738583,Curl femoral,0.039276,0.991322,0.161327,0.000258,-0.001573,0.029070,23,Mujer
3.259003,Curl femoral,0.025942,0.919213,0.145731,0.024692,-0.099311,0.561744,23,Mujer
3.813110,Curl femoral,1.081551,0.372687,0.001950,-0.051361,-0.912983,2.682363,23,Mujer
4.313884,Curl femoral,0.910384,0.030592,-0.086770,-0.094732,0.109910,-0.876843,23,Mujer
4.819740,Curl femoral,0.889534,0.515449,-0.093037,-0.089845,0.220172,-1.203351,23,Mujer
5.339721,Curl femoral,0.473012,0.795631,0.066042,-0.000659,0.079062,-0.674341,23,Mujer
5.817919,Curl femoral,0.313240,0.920669,0.037773,0.027136,0.025916,-0.230548,23,Mujer
6.290796,Curl femoral,0.663090,0.653355,0.020714,0.074783,-0.267604,1.880297,23,Mujer
6.769685,Curl femoral,1.099735,0.169712,-0.169925,0.097385,-0.230647,1.490565,23,Mujer
7.263026,Curl femoral,1.131253,0.070653,-0.039529,0.002090,0.380218,-1.821852,23,Mujer
7.754684,Curl femoral,0.661635,0.802915,-0.033503,-0.083126,0.117852,-0.794987,23,Mujer
8.263135,Curl femoral,0.344273,0.941307,0.121117,-0.085569,0.073869,-0.588515,23,Mujer
8.766726,Curl femoral,0.466224,0.606981,0.038991,0.147782,-0.249889,1.843340,23,Mujer
9.281451,Curl femoral,1.111130,0.128680,-0.038806,0.080892,-0.427957,1.967651,23,Mujer
9.755252,Curl femoral,1.030153,0.230653,-0.031334,-0.167425,0.292559,-2.175237,23,Mujer
10.242195,Curl femoral,0.520531,0.831322,0.048008,0.000258,0.150838,-0.990770,23,Mujer
10.732238,Curl femoral,0.231778,0.844918,0.070916,-0.012059,0.000556,0.079632,23,Mujer
11.222631,Curl femoral,0.790859,0.644614,-0.006508,0.197468,-0.320148,1.833426,23,Mujer
11.712468,Curl femoral,1.004696,0.303734,-0.049411,0.009932,-0.074886,0.601922,23,Mujer
