tiempo,tipo,accel_x,accel_y,accel_z,gyros_x,gyros_y,gyros_z,edad,sexo
1.034619,Curl femoral,0.177713,0.815540,0.029244,-0.084559,-0.297486,1.870396,24,Mujer
1.743302,Curl femoral,1.143375,0.152717,-0.171371,0.084650,-0.287407,0.762897,24,Mujer
2.268865,Curl femoral,0.969056,0.594356,0.053370,-0.141675,0.653326,-2.271881,24,Mujer
2.780541,Curl femoral,0.163893,1.041823,0.020227,0.140239,-0.072993,-0.254499,24,Mujer
3.305477,Curl femoral,0.872078,0.600426,-0.006508,-0.021029,-0.752275,2.912226,24,Mujer
3.806937,Curl femoral,1.136829,0.202732,-0.159802,-0.203984,0.201896,-1.259372,24,Mujer
4.389109,Curl femoral,0.270812,0.795389,0.254176,0.506758,0.437079,-2.012875,24,Mujer
4.929339,Curl femoral,1.091734,0.464462,0.025344,0.179334,-0.987458,3.429018,24,Mujer
5.457456,Curl femoral,1.006393,0.127952,-0.106053,-0.056154,0.447769,-1.840305,24,Mujer
5.950819,Curl femoral,0.663332,0.530745,0.066286,0.067851,0.142642,-0.835432,24,Mujer
6.459048,Curl femoral,0.188138,0.478544,0.202756,-0.449246,0.285279,-0.372090,24,Mujer
6.941550,Curl femoral,1.004454,0.455479,0.002437,0.263328,-0.576957,2.393907,24,Mujer
7.454429,Curl femoral,1.102887,0.405706,-0.078334,-0.450162,0.388210,-1.850995,24,Mujer
7.961040,Curl femoral,0.420401,0.841276,0.024370,0.113361,0.047958,-0.624683,24,Mujer
8.469323,Curl femoral,1.008575,0.394295,-0.051339,0.054107,-0.655453,2.730189,24,Mujer
8.988043,Curl femoral,1.011484,-0.261006,0.051176,1.507661,0.738236,-1.905057,24,Mujer
9.509704,Curl femoral,0.445373,0.816997,0.063605,-0.191461,0.228774,-1.498831,24,Mujer
9.964416,Curl femoral,0.611206,0.654083,0.006092,0.041584,-0.502431,2.271123,24,Mujer
10.442772,Curl femoral,1.018030,0.218999,-0.129673,-0.178327,-0.201275,0.445858,24,Mujer
10.917427,Curl femoral,0.938993,0.542156,-0.089663,-0.387854,0.391264,-2.258442,24,Mujer
11.398840,Curl femoral,0.201957,0.884979,0.072134,0.239810,-0.123695,0.448302,24,Mujer
11.872215,Curl femoral,1.074278,0.314659,-0.116899,0.186054,-0.622772,2.411317,24,Mujer
12.354675,Curl femoral,1.055852,0.233081,-0.043626,0.259663,0.350336,-1.580993,24,Mujer
12.840041,Curl femoral,0.545018,0.844190,-0.009400,-0.116630,0.128898,-1.363219,24,Mujer
13.406851,Curl femoral,0.734369,0.669865,0.014866,-0.071731,-0.564740,2.649249,24,Mujer
13.901449,Curl femoral,0.951358,0.179424,-0.065319,-0.051573,-0.019848,-0.111862,24,Mujer
14.386292,Curl femoral,0.646361,0.781792,-0.010846,-0.222615,0.456627,-2.445673,24,Mujer
14.873674,Curl femoral,0.250689,0.533172,0.030706,0.402911,-0.154238,0.690204,24,Mujer
15.361553,Curl femoral,1.114281,0.424644,-0.105812,-0.057681,-0.234872,2.104357,24,Mujer
15.863405,Curl femoral,0.921052,0.457178,-0.193546,-0.441916,0.293221,-2.021427,24,Mujer
16.363904,Curl femoral,0.311785,0.824524,0.098941,0.142988,-0.035730,-0.339409,24,Mujer
16.860639,Curl femoral,1.060701,0.413476,-0.024826,0.121608,-0.651788,2.455910,24,Mujer
17.362960,Curl femoral,1.023122,0.365646,0.016571,-0.105023,0.288639,-2.213849,24,Mujer
17.875842,Curl femoral,0.280995,0.919941,-0.003374,0.121366,-0.072367,0.078906,24,Mujer
18.372800,Curl femoral,1.102887,0.345979,-0.075683,0.112813,-0.594657,2.598420,24,Mujer
18.864803,Curl femoral,1.046639,0.318301,-0.029164,0.054170,0.392196,-2.202675,24,Mujer
19.360794,Curl femoral,0.336757,0.712111,0.013160,-0.039903,0.130746,-0.655048,24,Mujer
19.872355,Curl femoral,0.849288,0.671079,0.026076,0.018740,-0.540290,2.168676,24,Mujer
20.380728,Curl femoral,1.046639,0.496268,-0.008918,-0.146193,0.304537,-1.555158,24,Mujer
20.889725,Curl femoral,0.330939,0.743188,0.174487,0.246898,0.258417,-1.171229,24,Mujer
21.393367,Curl femoral,0.865289,0.605767,0.032412,0.291186,-0.761728,3.313743,24,Mujer
22.020809,Curl femoral,1.081551,0.200789,-0.102196,0.086241,0.624630,-2.382575,24,Mujer
22.493990,Curl femoral,0.134315,0.859243,-0.006749,-0.550892,0.208631,-1.221320,24,Mujer
22.967987,Curl femoral,1.005423,0.599212,-0.026031,0.250258,-0.792272,3.497308,24,Mujer
23.441860,Curl femoral,1.091249,0.186222,-0.107499,-0.012414,0.478023,-1.563099,24,Mujer
23.910437,Curl femoral,0.600539,0.999577,0.263436,-0.345946,0.811861,-2.866991,24,Mujer
24.398671,Curl femoral,0.483922,0.944220,-0.135217,-0.055480,-0.303885,2.585592,24,Mujer
24.876299,Curl femoral,1.012454,0.247648,-0.108945,0.003774,-0.091915,0.189168,24,Mujer
25.366508,Curl femoral,0.666726,0.665252,-0.030129,-0.833111,0.327444,-2.388073,24,Mujer
